e_id,market_id,selection_id,selection_name,selection_index,win_flag
1,108756355,1,0 - 0,1,0
1,108756355,4,0 - 1,2,0
1,108756355,9,0 - 2,3,0
1,108756355,16,0 - 3,4,0
1,108756355,2,1 - 0,5,0
1,108756355,3,1 - 1,6,0
1,108756355,8,1 - 2,7,0
1,108756355,15,1 - 3,8,0
1,108756355,5,2 - 0,9,0
1,108756355,6,2 - 1,10,0
1,108756355,7,2 - 2,11,0
1,108756355,14,2 - 3,12,0
1,108756355,10,3 - 0,13,0
1,108756355,11,3 - 1,14,0
1,108756355,12,3 - 2,15,0
1,108756355,13,3 - 3,16,0
1,108756355,4506345,Any Unquoted ,17,1
1,108756360,2255452,Granada,1,0
1,108756360,44507,Betis,2,1
1,108756360,58805,The Draw,3,0
1,108756340,1221385,Under 1.5 Goals,1,0
1,108756340,1221386,Over 1.5 Goals,2,1
1,108756356,47972,Under 2.5 Goals,1,0
1,108756356,47973,Over 2.5 Goals,2,1
2,108820020,1,0 - 0,1,0
2,108820020,4,0 - 1,2,0
2,108820020,9,0 - 2,3,0
2,108820020,16,0 - 3,4,0
2,108820020,2,1 - 0,5,0
2,108820020,3,1 - 1,6,0
2,108820020,8,1 - 2,7,0
2,108820020,15,1 - 3,8,0
2,108820020,5,2 - 0,9,0
2,108820020,6,2 - 1,10,0
2,108820020,7,2 - 2,11,0
2,108820020,14,2 - 3,12,0
2,108820020,10,3 - 0,13,0
2,108820020,11,3 - 1,14,1
2,108820020,12,3 - 2,15,0
2,108820020,13,3 - 3,16,0
2,108820020,4506345,Any Unquoted ,17,0
2,108820023,879269,Sonderjyske,1,1
2,108820023,113193,Esbjerg,2,0
2,108820023,58805,The Draw,3,0
2,108820007,1221385,Under 1.5 Goals,1,0
2,108820007,1221386,Over 1.5 Goals,2,1
2,108820021,47972,Under 2.5 Goals,1,0
2,108820021,47973,Over 2.5 Goals,2,1
3,108853111,1,0 - 0,1,0
3,108853111,4,0 - 1,2,0
3,108853111,9,0 - 2,3,0
3,108853111,16,0 - 3,4,0
3,108853111,2,1 - 0,5,0
3,108853111,3,1 - 1,6,0
3,108853111,8,1 - 2,7,0
3,108853111,15,1 - 3,8,0
3,108853111,5,2 - 0,9,0
3,108853111,6,2 - 1,10,1
3,108853111,7,2 - 2,11,0
3,108853111,14,2 - 3,12,0
3,108853111,10,3 - 0,13,0
3,108853111,11,3 - 1,14,0
3,108853111,12,3 - 2,15,0
3,108853111,13,3 - 3,16,0
3,108853111,4506345,Any Unquoted ,17,0
3,108853115,48317,Leeds,1,1
3,108853115,47992,Sheff Wed,2,0
3,108853115,58805,The Draw,3,0
3,108853098,1221385,Under 1.5 Goals,1,0
3,108853098,1221386,Over 1.5 Goals,2,1
3,108853112,47972,Under 2.5 Goals,1,0
3,108853112,47973,Over 2.5 Goals,2,1
4,108997242,1,0 - 0,1,0
4,108997242,4,0 - 1,2,0
4,108997242,9,0 - 2,3,0
4,108997242,16,0 - 3,4,0
4,108997242,2,1 - 0,5,0
4,108997242,3,1 - 1,6,0
4,108997242,8,1 - 2,7,0
4,108997242,15,1 - 3,8,0
4,108997242,5,2 - 0,9,0
4,108997242,6,2 - 1,10,0
4,108997242,7,2 - 2,11,0
4,108997242,14,2 - 3,12,0
4,108997242,10,3 - 0,13,0
4,108997242,11,3 - 1,14,0
4,108997242,12,3 - 2,15,0
4,108997242,13,3 - 3,16,0
4,108997242,4506345,Any Unquoted ,17,1
4,108997229,44785,Dortmund,1,1
4,108997229,2426,Real Madrid,2,0
4,108997229,58805,The Draw,3,0
4,108997230,1221385,Under 1.5 Goals,1,0
4,108997230,1221386,Over 1.5 Goals,2,1
4,108997231,47972,Under 2.5 Goals,1,0
4,108997231,47973,Over 2.5 Goals,2,1
5,109263465,1,0 - 0,1,0
5,109263465,4,0 - 1,2,0
5,109263465,9,0 - 2,3,0
5,109263465,16,0 - 3,4,0
5,109263465,2,1 - 0,5,0
5,109263465,3,1 - 1,6,0
5,109263465,8,1 - 2,7,0
5,109263465,15,1 - 3,8,0
5,109263465,5,2 - 0,9,0
5,109263465,6,2 - 1,10,0
5,109263465,7,2 - 2,11,0
5,109263465,14,2 - 3,12,0
5,109263465,10,3 - 0,13,0
5,109263465,11,3 - 1,14,0
5,109263465,12,3 - 2,15,0
5,109263465,13,3 - 3,16,0
5,109263465,4506345,Any Unquoted ,17,1
5,109263470,2426,Real Madrid,1,1
5,109263470,13360,Malaga,2,0
5,109263470,58805,The Draw,3,0
5,109263450,1221385,Under 1.5 Goals,1,0
5,109263450,1221386,Over 1.5 Goals,2,1
5,109263466,47972,Under 2.5 Goals,1,0
5,109263466,47973,Over 2.5 Goals,2,1
6,109352704,1,0 - 0,1,0
6,109352704,4,0 - 1,2,0
6,109352704,9,0 - 2,3,0
6,109352704,16,0 - 3,4,0
6,109352704,2,1 - 0,5,0
6,109352704,3,1 - 1,6,0
6,109352704,8,1 - 2,7,0
6,109352704,15,1 - 3,8,0
6,109352704,5,2 - 0,9,0
6,109352704,7,2 - 2,11,0
6,109352704,14,2 - 3,12,0
